"x","y","z","w","partid"
-1.22321,2.82565,3.85,1,100
-1.18073,2.89728,3.85,1,100
-0.65772,-1.60376,3.85,1,100
4.36274,-6.62422,3.85,1,100
-1.25306,3.44352,3.85,1,100
-1.31272,3.50162,3.85,1,100
0.61507,-2.87656,3.85,1,100
-3.22105,1.14331,3.85,1,100
-3.1385,1.13238,3.85,1,100
-3.05528,1.1353,3.85,1,100
-1.15073,2.97496,3.85,1,100
-1.13404,3.05654,3.85,1,100
-1.13112,3.13976,3.85,1,100
-3.50036,1.31398,3.85,1,100
-3.44226,1.25432,3.85,1,100
-3.37507,1.20514,3.85,1,100
-3.30065,1.16779,3.85,1,100
-2.8244,1.22447,3.85,1,100
-2.76082,1.27824,3.85,1,100
-1.27699,2.76207,3.85,1,100
-1.14205,3.22231,3.85,1,100
-1.16653,3.3019,3.85,1,100
-1.20388,3.37633,3.85,1,100
-1.47089,-0.79059,7.3,1,100
0.93327,-3.19476,7.3,1,100
3.19601,-0.93201,7.3,1,100
2.98388,-5.24537,7.3,1,100
5.24662,-2.98262,7.3,1,100
-2.8244,1.22447,7.3,1,100
-2.89602,1.18199,7.3,1,100
7.72149,-5.4575,7.3,1,100
0.79185,1.47215,7.3,1,100
-1.14205,3.22231,7.3,1,100
-1.13112,3.13976,7.3,1,100
-3.44226,1.25432,7.3,1,100
-3.50036,1.31398,7.3,1,100
-1.13404,3.05654,7.3,1,100
-1.15073,2.97496,7.3,1,100
-1.18073,2.89728,7.3,1,100
-2.9737,1.15199,7.3,1,100
-3.05528,1.1353,7.3,1,100
-3.1385,1.13238,7.3,1,100
8.41206,-10.64656,7.3,1,100
8.57002,-10.83151,7.3,1,100
5.45875,-7.72024,7.3,1,100
8.28498,-10.43918,7.3,1,100
8.82568,-8.41081,7.3,1,100
9.03306,-8.28373,7.3,1,100
9.25777,-8.19065,7.3,1,100
-1.31272,3.50162,7.3,1,100
-1.25306,3.44352,7.3,1,100
-1.20388,3.37633,7.3,1,100
-1.16653,3.3019,7.3,1,100
-1.22321,2.82565,7.3,1,100
-1.27699,2.76207,7.3,1,100
-2.76082,1.27824,7.3,1,100
-3.22105,1.14331,7.3,1,100
-3.30065,1.16779,7.3,1,100
-3.37507,1.20514,7.3,1,100
8.1919,-10.21447,7.3,1,100
8.13512,-9.97797,7.3,1,100
8.11603,-9.7355,7.3,1,100
8.13512,-9.49302,7.3,1,100
8.1919,-9.25652,7.3,1,100
8.28498,-9.03181,7.3,1,100
10.64781,-8.41081,7.3,1,100
10.83276,-8.56877,7.3,1,100
9.49427,-8.13387,7.3,1,100
9.73675,-8.11478,7.3,1,100
9.97922,-8.13387,7.3,1,100
10.21572,-8.19065,7.3,1,100
10.44043,-8.28373,7.3,1,100
8.41206,-8.82443,7.3,1,100
8.57002,-8.63948,7.3,1,100
8.64073,-8.56877,7.3,1,100
3.08995,-5.35143,4.75,1,100
4.36274,-6.62422,4.75,1,100
-1.47089,-0.79059,6.4,1,100
6.62547,-4.36148,4.75,1,100
5.35268,-3.08869,4.75,1,100
0.79185,1.47215,6.4,1,100
-3.37507,1.20514,6.4,1,100
-3.44226,1.25432,6.4,1,100
-3.50036,1.31398,6.4,1,100
-3.30065,1.16779,6.4,1,100
-3.22105,1.14331,6.4,1,100
-3.1385,1.13238,6.4,1,100
-3.05528,1.1353,6.4,1,100
-2.9737,1.15199,6.4,1,100
-2.89602,1.18199,6.4,1,100
-1.22321,2.82565,6.4,1,100
-1.18073,2.89728,6.4,1,100
-1.15073,2.97496,6.4,1,100
-1.13404,3.05654,6.4,1,100
-2.8244,1.22447,6.4,1,100
-2.76082,1.27824,6.4,1,100
-1.27699,2.76207,6.4,1,100
-1.13112,3.13976,6.4,1,100
-1.14205,3.22231,6.4,1,100
-1.16653,3.3019,6.4,1,100
-1.20388,3.37633,6.4,1,100
-1.25306,3.44352,6.4,1,100
-1.31272,3.50162,6.4,1,100
1.78693,3.00895,-9.5,1,200
1.98355,2.88303,-9.5,1,200
1.76175,2.43493,-9.5,1,200
1.30671,3.24665,-9.5,1,200
0.86555,2.87853,-9.5,1,200
1.08735,3.32663,-9.5,1,200
-2.93917,1.90239,-9.5,1,200
-2.88395,1.98508,-9.5,1,200
-2.43585,1.76328,-9.5,1,200
-3.19509,1.43162,-9.5,1,200
-2.87945,0.86708,-9.5,1,200
-3.32755,1.08888,-9.5,1,200
-0.868,-2.87792,-9.5,1,200
-1.0898,-3.32602,-9.5,1,200
